data_year,period,period_label,metric,dim_value_canon,scope,unit,from_report_id,from_value,to_report_id,to_value,delta,delta_pct,is_latest_step,n_vintages
2023,FY,2023,funding_by_vertical_size,saas,all,usd,2026q1,43900000.0,2026q2,44400000.0,500000,1.14,TRUE,5
2024,FY,2024,funding_by_vertical_size,fintech,all,usd,2024,194500000.0,2025,196600000.0,2.1e+06,1.08,FALSE,4
2023,FY,2023,funding_by_vertical_size,artificial_intelligence,all,usd,2026q1,49800000.0,2026q2,50300000.0,500000,1.00,TRUE,5
2023,FY,2023,funding_by_vertical_size,saas,all,usd,2024,44300000.0,2025,43900000.0,-400000,-0.90,FALSE,5
2024,FY,2024,funding_by_vertical_count,artificial_intelligence,all,count,2025,115.0,2026q2,116.0,1,0.87,TRUE,3
2024,FY,2024,total_deal_count,,ex_getir_bigg,count,2025,252.0,2026q2,254.0,2,0.79,TRUE,3
2018,FY,2018,total_deal_count,,all,count,2024,139.0,2025,138.0,-1,-0.72,FALSE,3
2025,FY,2025,funding_by_vertical_size,deeptech,all,usd,2025,15200000.0,2026q2,15300000.0,100000,0.66,TRUE,2
2025,FY,2025,funding_by_vertical_size,marketingtech,all,usd,2026q1,16300000.0,2026q2,16399999.999999998,100000,0.61,TRUE,3
2022,FY,2022,funding_by_vertical_size,artificial_intelligence,all,usd,2022,151000000.0,2023,151900000.0,900000,0.60,FALSE,6
2022,FY,2022,total_deal_count,,ex_getir_bigg,count,2024,353.0,2025,355.0,2,0.57,FALSE,3
2022,FY,2022,total_deal_count,,all,count,2024,354.0,2025,356.0,2,0.56,FALSE,3
2017,FY,2017,total_deal_count,,all,count,2024,186.0,2025,185.0,-1,-0.54,FALSE,3
2022,FY,2022,funding_by_vertical_size,artificial_intelligence,all,usd,2023,151900000.0,2024,152700000.0,800000,0.53,FALSE,6
2025,FY,2025,funding_by_vertical_size,artificial_intelligence,all,usd,2026q1,40300000.0,2026q2,40500000.0,200000,0.50,TRUE,3
2023,FY,2023,total_deal_size,,ex_getir_bigg,usd,2024,236000000.0,2025,237000000.0,1e+06,0.42,FALSE,3
2023,FY,2023,total_deal_size,,ex_getir_bigg,usd,2025,237000000.0,2026q2,238000000.0,1e+06,0.42,TRUE,3
2021,FY,2021,total_deal_size,,ex_getir_bigg,usd,2025,883000000.0,2026q2,880000000.0,-3e+06,-0.34,TRUE,3
2022,FY,2022,total_deal_size,,ex_getir_bigg,usd,2024,591000000.0,2025,593000000.0,2e+06,0.34,FALSE,3
2022,FY,2022,funding_by_vertical_size,fintech,all,usd,2023,91200000.0,2024,91500000.0,300000,0.33,FALSE,6
